id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Losser,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
399,2014,Sharjah,4/17/2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Delhi Daredevils,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,
400,2014,Abu Dhabi,4/18/2014,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Kings XI Punjab,Chennai Super Kings,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
401,2014,Abu Dhabi,4/18/2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Sunrisers Hyderabad,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth,
402,2014,Dubai,4/19/2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,Mumbai Indians,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,
403,2014,Dubai,4/19/2014,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,Kolkata Knight Riders,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,
404,2014,Sharjah,4/20/2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Rajasthan Royals,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,
405,2014,Abu Dhabi,4/21/2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Delhi Daredevils,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
406,2014,Sharjah,4/22/2014,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings XI Punjab,Sunrisers Hyderabad,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,
407,2014,Dubai,4/23/2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,Rajasthan Royals,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,
408,2014,Sharjah,4/24/2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
409,2014,Dubai,4/25/2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,Delhi Daredevils,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,
410,2014,Dubai,4/25/2014,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,Mumbai Indians,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,
411,2014,Abu Dhabi,4/26/2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,
412,2014,Abu Dhabi,4/26/2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,Kolkata Knight Riders,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,
413,2014,Sharjah,4/27/2014,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,Mumbai Indians,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
414,2014,Sharjah,4/27/2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,Sunrisers Hyderabad,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,
415,2014,Dubai,4/28/2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,
